"","time_window","goal_func","num_maxM_days","memory","num_maxS_days","total_equivalent","k"
"1",10,0,0,0,249,"MaxS","1"
"2",10,0.1,0,0,249,"MaxS","1"
"3",10,0.2,0,0,249,"MaxS","1"
"4",10,0.3,0,0,249,"MaxS","1"
"5",10,0.4,0,0,249,"MaxS","1"
"6",10,0.45,0,0,249,"MaxS","1"
"7",10,0.5,0,0,249,"MaxS","1"
"8",10,0.55,111,0,138,"MaxM","1"
"9",10,0.6,112,0,137,"MaxM","1"
"10",10,0.65,127,0,122,"MaxM","1"
"11",10,0.7,119,0,130,"MaxM","1"
"12",10,0.75,121,0,128,"MaxM","1"
"13",10,0.8,120,0,129,"MaxM","1"
"14",10,0.9,124,0,125,"MaxM","1"
"15",10,1,249,0,0,"MaxM","1"
"16",15,0,0,0,249,"MaxS","1"
"17",15,0.1,0,0,0,"MaxS","1"
"18",15,0.2,0,0,0,"MaxS","1"
"19",15,0.3,0,0,0,"MaxS","1"
"20",15,0.4,0,0,0,"MaxS","1"
"21",15,0.45,0,0,249,"MaxS","1"
"22",15,0.5,6,0,243,"MaxM","1"
"23",15,0.55,100,0,149,"MaxM","1"
"24",15,0.6,102,0,147,"MaxM","1"
"25",15,0.65,99,0,150,"MaxM","1"
"26",15,0.7,0,0,0,"MaxS","1"
"27",15,0.75,151,0,98,"MaxM","1"
"28",15,0.8,0,0,0,"MaxS","1"
"29",15,0.9,0,0,0,"MaxS","1"
"30",15,1,249,0,0,"MaxM","1"
"31",20,0,0,0,249,"MaxS","1"
"32",20,0.1,0,0,0,"MaxS","1"
"33",20,0.2,0,0,0,"MaxS","1"
"34",20,0.3,0,0,0,"MaxS","1"
"35",20,0.4,0,0,0,"MaxS","1"
"36",20,0.45,0,0,249,"MaxS","1"
"37",20,0.5,5,0,244,"MaxM","1"
"38",20,0.55,170,0,79,"MaxM","1"
"39",20,0.6,174,0,75,"MaxM","1"
"40",20,0.65,170,0,79,"MaxM","1"
"41",20,0.7,0,0,0,"MaxS","1"
"42",20,0.75,157,0,92,"MaxM","1"
"43",20,0.8,0,0,0,"MaxS","1"
"44",20,0.9,0,0,0,"MaxS","1"
"45",20,1,249,0,0,"MaxM","1"
"46",25,0,0,0,249,"MaxS","1"
"47",25,0.1,0,0,249,"MaxS","1"
"48",25,0.2,0,0,249,"MaxS","1"
"49",25,0.3,0,0,249,"MaxS","1"
"50",25,0.4,0,0,249,"MaxS","1"
"51",25,0.45,0,0,249,"MaxS","1"
"52",25,0.5,1,0,248,"MaxM","1"
"53",25,0.55,174,0,75,"MaxM","1"
"54",25,0.6,178,0,71,"MaxM","1"
"55",25,0.65,178,0,71,"MaxM","1"
"56",25,0.7,176,0,73,"MaxM","1"
"57",25,0.75,173,0,76,"MaxM","1"
"58",25,0.8,179,0,70,"MaxM","1"
"59",25,0.9,187,0,62,"MaxM","1"
"60",25,1,249,0,0,"MaxM","1"
"61",10,0,0,5,249,"MaxS","1"
"62",10,0.1,0,5,0,"MaxS","1"
"63",10,0.2,0,5,0,"MaxS","1"
"64",10,0.3,0,5,0,"MaxS","1"
"65",10,0.4,0,5,0,"MaxS","1"
"66",10,0.45,0,5,249,"MaxS","1"
"67",10,0.5,0,5,249,"MaxS","1"
"68",10,0.55,112,5,137,"MaxM","1"
"69",10,0.6,116,5,133,"MaxM","1"
"70",10,0.65,118,5,131,"MaxM","1"
"71",10,0.7,0,5,0,"MaxS","1"
"72",10,0.75,120,5,129,"MaxM","1"
"73",10,0.8,0,5,0,"MaxS","1"
"74",10,0.9,0,5,0,"MaxS","1"
"75",10,1,249,5,0,"MaxM","1"
"76",15,0,0,5,249,"MaxS","1"
"77",15,0.1,0,5,0,"MaxS","1"
"78",15,0.2,0,5,0,"MaxS","1"
"79",15,0.3,0,5,0,"MaxS","1"
"80",15,0.4,0,5,0,"MaxS","1"
"81",15,0.45,0,5,249,"MaxS","1"
"82",15,0.5,19,5,230,"MaxM","1"
"83",15,0.55,118,5,131,"MaxM","1"
"84",15,0.6,121,5,128,"MaxM","1"
"85",15,0.65,121,5,128,"MaxM","1"
"86",15,0.7,0,5,0,"MaxS","1"
"87",15,0.75,138,5,111,"MaxM","1"
"88",15,0.8,0,5,0,"MaxS","1"
"89",15,0.9,0,5,0,"MaxS","1"
"90",15,1,249,5,0,"MaxM","1"
"91",20,0,0,5,249,"MaxS","1"
"92",20,0.1,0,5,0,"MaxS","1"
"93",20,0.2,0,5,0,"MaxS","1"
"94",20,0.3,0,5,0,"MaxS","1"
"95",20,0.4,0,5,0,"MaxS","1"
"96",20,0.45,0,5,249,"MaxS","1"
"97",20,0.5,28,5,221,"MaxM","1"
"98",20,0.55,174,5,75,"MaxM","1"
"99",20,0.6,181,5,68,"MaxM","1"
"100",20,0.65,168,5,81,"MaxM","1"
"101",20,0.7,0,5,0,"MaxS","1"
"102",20,0.75,173,5,76,"MaxM","1"
"103",20,0.8,0,5,0,"MaxS","1"
"104",20,0.9,0,5,0,"MaxS","1"
"105",20,1,249,5,0,"MaxM","1"
"106",25,0,0,5,249,"MaxS","1"
"107",25,0.1,0,5,0,"MaxS","1"
"108",25,0.2,0,5,0,"MaxS","1"
"109",25,0.3,0,5,0,"MaxS","1"
"110",25,0.4,0,5,0,"MaxS","1"
"111",25,0.45,0,5,249,"MaxS","1"
"112",25,0.5,36,5,213,"MaxM","1"
"113",25,0.55,184,5,65,"MaxM","1"
"114",25,0.6,191,5,58,"MaxM","1"
"115",25,0.65,187,5,62,"MaxM","1"
"116",25,0.7,0,5,0,"MaxS","1"
"117",25,0.75,189,5,60,"MaxM","1"
"118",25,0.8,0,5,0,"MaxS","1"
"119",25,0.9,0,5,0,"MaxS","1"
"120",25,1,249,5,0,"MaxM","1"
"121",10,0,0,0,249,"MaxS","2"
"122",10,0.1,0,0,0,"MaxS","2"
"123",10,0.2,0,0,0,"MaxS","2"
"124",10,0.3,0,0,0,"MaxS","2"
"125",10,0.4,0,0,0,"MaxS","2"
"126",10,0.45,0,0,249,"MaxS","2"
"127",10,0.5,0,0,249,"MaxS","2"
"128",10,0.55,99,0,150,"MaxM","2"
"129",10,0.6,100,0,149,"MaxM","2"
"130",10,0.65,89,0,160,"MaxM","2"
"131",10,0.7,0,0,0,"MaxS","2"
"132",10,0.75,87,0,162,"MaxM","2"
"133",10,0.8,0,0,0,"MaxS","2"
"134",10,0.9,0,0,0,"MaxS","2"
"135",10,1,249,0,0,"MaxM","2"
"136",15,0,0,0,249,"MaxS","2"
"137",15,0.1,0,0,0,"MaxS","2"
"138",15,0.2,0,0,0,"MaxS","2"
"139",15,0.3,0,0,0,"MaxS","2"
"140",15,0.4,0,0,0,"MaxS","2"
"141",15,0.45,0,0,249,"MaxS","2"
"142",15,0.5,4,0,245,"MaxM","2"
"143",15,0.55,92,0,157,"MaxM","2"
"144",15,0.6,94,0,155,"MaxM","2"
"145",15,0.65,92,0,157,"MaxM","2"
"146",15,0.7,0,0,0,"MaxS","2"
"147",15,0.75,109,0,140,"MaxM","2"
"148",15,0.8,0,0,0,"MaxS","2"
"149",15,0.9,0,0,0,"MaxS","2"
"150",15,1,249,0,0,"MaxM","2"
"151",20,0,0,0,249,"MaxS","2"
"152",20,0.1,0,0,0,"MaxS","2"
"153",20,0.2,0,0,0,"MaxS","2"
"154",20,0.3,0,0,0,"MaxS","2"
"155",20,0.4,0,0,0,"MaxS","2"
"156",20,0.45,0,0,249,"MaxS","2"
"157",20,0.5,1,0,248,"MaxM","2"
"158",20,0.55,115,0,134,"MaxM","2"
"159",20,0.6,116,0,133,"MaxM","2"
"160",20,0.65,114,0,135,"MaxM","2"
"161",20,0.7,0,0,0,"MaxS","2"
"162",20,0.75,155,0,94,"MaxM","2"
"163",20,0.8,0,0,0,"MaxS","2"
"164",20,0.9,0,0,0,"MaxS","2"
"165",20,1,249,0,0,"MaxM","2"
"166",25,0,0,0,249,"MaxS","2"
"167",25,0.1,0,0,0,"MaxS","2"
"168",25,0.2,0,0,0,"MaxS","2"
"169",25,0.3,0,0,0,"MaxS","2"
"170",25,0.4,0,0,0,"MaxS","2"
"171",25,0.45,0,0,249,"MaxS","2"
"172",25,0.5,1,0,248,"MaxM","2"
"173",25,0.55,140,0,109,"MaxM","2"
"174",25,0.6,142,0,107,"MaxM","2"
"175",25,0.65,142,0,107,"MaxM","2"
"176",25,0.7,0,0,0,"MaxS","2"
"177",25,0.75,141,0,108,"MaxM","2"
"178",25,0.8,0,0,0,"MaxS","2"
"179",25,0.9,0,0,0,"MaxS","2"
"180",25,1,249,0,0,"MaxM","2"
"181",10,0,0,5,249,"MaxS","2"
"182",10,0.1,0,5,0,"MaxS","2"
"183",10,0.2,0,5,0,"MaxS","2"
"184",10,0.3,0,5,0,"MaxS","2"
"185",10,0.4,0,5,0,"MaxS","2"
"186",10,0.45,0,5,249,"MaxS","2"
"187",10,0.5,0,5,249,"MaxS","2"
"188",10,0.55,102,5,147,"MaxM","2"
"189",10,0.6,101,5,148,"MaxM","2"
"190",10,0.65,103,5,146,"MaxM","2"
"191",10,0.7,0,5,0,"MaxS","2"
"192",10,0.75,105,5,144,"MaxM","2"
"193",10,0.8,0,5,0,"MaxS","2"
"194",10,0.9,0,5,0,"MaxS","2"
"195",10,1,249,5,0,"MaxM","2"
"196",15,0,0,5,249,"MaxS","2"
"197",15,0.1,0,5,0,"MaxS","2"
"198",15,0.2,0,5,0,"MaxS","2"
"199",15,0.3,0,5,0,"MaxS","2"
"200",15,0.4,0,5,0,"MaxS","2"
"201",15,0.45,0,5,249,"MaxS","2"
"202",15,0.5,16,5,233,"MaxM","2"
"203",15,0.55,107,5,142,"MaxM","2"
"204",15,0.6,113,5,136,"MaxM","2"
"205",15,0.65,119,5,130,"MaxM","2"
"206",15,0.7,0,5,0,"MaxS","2"
"207",15,0.75,129,5,120,"MaxM","2"
"208",15,0.8,0,5,0,"MaxS","2"
"209",15,0.9,0,5,0,"MaxS","2"
"210",15,1,249,5,0,"MaxM","2"
"211",20,0,0,5,249,"MaxS","2"
"212",20,0.1,0,5,0,"MaxS","2"
"213",20,0.2,0,5,0,"MaxS","2"
"214",20,0.3,0,5,0,"MaxS","2"
"215",20,0.4,0,5,0,"MaxS","2"
"216",20,0.45,1,5,248,"MaxS","2"
"217",20,0.5,33,5,216,"MaxM","2"
"218",20,0.55,149,5,100,"MaxM","2"
"219",20,0.6,149,5,100,"MaxM","2"
"220",20,0.65,154,5,95,"MaxM","2"
"221",20,0.7,0,5,0,"MaxS","2"
"222",20,0.75,150,5,99,"MaxM","2"
"223",20,0.8,0,5,0,"MaxS","2"
"224",20,0.9,0,5,0,"MaxS","2"
"225",20,1,249,5,0,"MaxM","2"
"226",25,0,0,5,249,"MaxS","2"
"227",25,0.1,0,5,0,"MaxS","2"
"228",25,0.2,0,5,0,"MaxS","2"
"229",25,0.3,0,5,0,"MaxS","2"
"230",25,0.4,0,5,0,"MaxS","2"
"231",25,0.45,2,5,247,"MaxS","2"
"232",25,0.5,34,5,215,"MaxM","2"
"233",25,0.55,150,5,99,"MaxM","2"
"234",25,0.6,141,5,108,"MaxM","2"
"235",25,0.65,154,5,95,"MaxM","2"
"236",25,0.7,0,5,0,"MaxS","2"
"237",25,0.75,153,5,96,"MaxM","2"
"238",25,0.8,0,5,0,"MaxS","2"
"239",25,0.9,0,5,0,"MaxS","2"
"240",25,1,249,5,0,"MaxM","2"
"241",10,0,0,0,249,"MaxS","3"
"242",10,0.1,0,0,0,"MaxS","3"
"243",10,0.2,0,0,0,"MaxS","3"
"244",10,0.3,0,0,0,"MaxS","3"
"245",10,0.4,0,0,0,"MaxS","3"
"246",10,0.45,0,0,249,"MaxS","3"
"247",10,0.5,1,0,248,"MaxS","3"
"248",10,0.55,86,0,163,"MaxM","3"
"249",10,0.6,90,0,159,"MaxM","3"
"250",10,0.65,100,0,149,"MaxM","3"
"251",10,0.7,0,0,0,"MaxS","3"
"252",10,0.75,92,0,157,"MaxM","3"
"253",10,0.8,0,0,0,"MaxS","3"
"254",10,0.9,0,0,0,"MaxS","3"
"255",10,1,249,0,0,"MaxM","3"
"256",15,0,0,0,249,"MaxS","3"
"257",15,0.1,0,0,0,"MaxS","3"
"258",15,0.2,0,0,0,"MaxS","3"
"259",15,0.3,0,0,0,"MaxS","3"
"260",15,0.4,0,0,0,"MaxS","3"
"261",15,0.45,0,0,249,"MaxS","3"
"262",15,0.5,4,0,245,"MaxM","3"
"263",15,0.55,84,0,165,"MaxM","3"
"264",15,0.6,86,0,163,"MaxM","3"
"265",15,0.65,89,0,160,"MaxM","3"
"266",15,0.7,0,0,0,"MaxS","3"
"267",15,0.75,110,0,139,"MaxM","3"
"268",15,0.8,0,0,0,"MaxS","3"
"269",15,0.9,0,0,0,"MaxS","3"
"270",15,1,249,0,0,"MaxM","3"
"271",20,0,0,0,249,"MaxS","3"
"272",20,0.1,0,0,0,"MaxS","3"
"273",20,0.2,0,0,0,"MaxS","3"
"274",20,0.3,0,0,0,"MaxS","3"
"275",20,0.4,0,0,0,"MaxS","3"
"276",20,0.45,3,0,246,"MaxS","3"
"277",20,0.5,22,0,227,"MaxM","3"
"278",20,0.55,120,0,129,"MaxM","3"
"279",20,0.6,130,0,119,"MaxM","3"
"280",20,0.65,122,0,127,"MaxM","3"
"281",20,0.7,0,0,0,"MaxS","3"
"282",20,0.75,138,0,111,"MaxM","3"
"283",20,0.8,0,0,0,"MaxS","3"
"284",20,0.9,0,0,0,"MaxS","3"
"285",20,1,249,0,0,"MaxM","3"
"286",25,0,0,0,249,"MaxS","3"
"287",25,0.1,0,0,0,"MaxS","3"
"288",25,0.2,0,0,0,"MaxS","3"
"289",25,0.3,0,0,0,"MaxS","3"
"290",25,0.4,0,0,0,"MaxS","3"
"291",25,0.45,2,0,247,"MaxS","3"
"292",25,0.5,14,0,235,"MaxM","3"
"293",25,0.55,158,0,91,"MaxM","3"
"294",25,0.6,160,0,89,"MaxM","3"
"295",25,0.65,160,0,89,"MaxM","3"
"296",25,0.7,0,0,0,"MaxS","3"
"297",25,0.75,159,0,90,"MaxM","3"
"298",25,0.8,0,0,0,"MaxS","3"
"299",25,0.9,0,0,0,"MaxS","3"
